순위,종목코드,종목명,현재가,전일대비,,매도호가,매수호가,거래량,순매수량,취득가능수량
171,'460930,현대힘스,"16,810",▼,"-230","16,810","16,800","276,434","-186,451","34,483,971"
172,'322510,제이엘케이,"7,550",▼,"-150","7,560","7,550","338,988","-184,993","25,282,903"
173,'138930,BNK금융지주,"22,200",▲,"750","22,250","22,200","3,096,968","-183,795","180,748,562"
174,'244580,KODEX 바이오,"12,970",▼,"-185","12,975","12,970","833,376","-179,247","23,965,682"
175,'166480,코아스템켐온,"3,265",▼,"-165","3,270","3,265","982,032","-179,208","51,802,808"
176,'340360,다보링크,"1,571",▲,"29","1,571","1,570","534,794","-178,561","50,326,908"
177,'412350,레이저쎌,"5,210",▲,"495","5,220","5,210","10,047,605","-177,971","12,691,962"
178,'051600,한전KPS,"58,400",▲,"600","58,500","58,400","660,186","-177,772","39,750,628"
179,'055550,신한지주,"103,300",▼,"-2,700","103,300","103,200","3,410,857","-176,969","192,257,496"
180,'111770,영원무역,"90,700",▼,"-700","90,700","90,500","92,348","-175,992","31,202,300"
181,'204320,HL만도,"58,400",▼,"-2,300","58,500","58,400","707,131","-174,462","41,367,242"
182,'091580,상신이디피,"16,580",▼,"-120","16,580","16,570","433,604","-173,975","12,562,316"
183,'094360,칩스앤미디어,"18,880",▼,"-670","18,880","18,870","475,780","-173,962","21,193,071"
184,'267270,HD건설기계,"140,800",▼,"-4,200","140,900","140,800","767,908","-172,523","38,751,587"
185,'122640,예스티,"22,900",▲,"450","22,900","22,800","339,089","-170,089","20,786,746"
186,'058610,에스피지,"133,400",▼,"-3,900","133,500","133,400","530,338","-169,182","21,238,963"
187,'447770,TIGER 테슬라채권혼합Fn,"14,665",▼,"-195","14,670","14,665","693,193","-168,294","45,194,646"
188,'115440,우리넷,"6,910",▼,"-200","6,930","6,910","232,506","-167,466","10,228,505"
189,'340930,유일에너테크,"1,355",▼,"-76","1,355","1,351","2,940,249","-166,156","67,629,512"
190,'0148J0,TIGER 코리아휴머노이드로봇산업,"13,535",▼,"-335","13,540","13,535","3,031,239","-166,009","50,301,478"
191,'082800,비보존 제약,"4,125",▲,"30","4,125","4,115","406,316","-165,777","49,553,049"
192,'007070,GS리테일,"22,300",▼,"-100","22,350","22,300","198,559","-164,850","73,499,169"
193,'157490,TIGER 소프트웨어,"9,795",▼,"-165","9,815","9,795","270,984","-163,680","13,480,522"
194,'264660,씨앤지하이테크,"19,210",▲,"770","19,250","19,210","512,780","-162,753","9,154,075"
195,'0094X0,1Q 샤오미밸류체인액티브,"9,875",▲,"15","9,875","9,860","57,476","-161,030","1,902,606"
196,'209640,와이제이링크,"5,090", ,"0","5,100","5,090","1,791,968","-160,888","28,198,631"
197,'041440,현대에버다임,"9,240",▼,"-140","9,240","9,230","372,106","-160,848","17,442,586"
198,'027830,대성창투,"1,775",▲,"38","1,775","1,774","885,946","-160,655","52,101,324"
199,'451220,아이엠티,"12,300",▼,"-500","12,310","12,300","285,428","-160,347","7,764,444"
200,'069260,TKG휴켐스,"19,800",▲,"280","19,840","19,820","170,631","-160,139","36,661,742"
