순위,종목코드,종목명,현재가,전일대비,,매도호가,매수호가,거래량,순매수량,취득가능수량
125,'123320,TIGER 레버리지,"83,790",▼,"-130","83,790","83,775","360,531","301,532","3,677,009"
126,'016380,KG스틸,"5,870",▼,"-60","5,880","5,870","293,521","299,383","92,883,544"
127,'125020,티씨머티리얼즈,"4,215",▼,"-135","4,215","4,200","658,958","299,299","34,222,565"
128,'389470,인벤티지랩,"77,400",▲,"2,200","77,500","77,400","231,831","294,800","12,604,409"
129,'289930,웨이비스,"17,970",▼,"-2,030","17,980","17,970","623,700","294,421","11,500,207"
130,'008040,사조동아원,"1,113",▼,"-1","1,114","1,113","907,015","294,170","139,253,704"
131,'060310,3S,"1,320",▼,"-89","1,320","1,319","874,291","292,182","51,002,359"
132,'002200,한국수출포장,"3,235",▼,"-15","3,235","3,230","103,648","288,610","38,530,501"
133,'332290,누보,"1,257",▼,"-15","1,257","1,250","422,528","288,560","38,531,881"
134,'058850,KTcs,"2,800",▼,"-40","2,805","2,800","574,957","287,628","39,453,266"
135,'217730,강스템바이오텍,"2,085",▼,"-70","2,110","2,085","535,150","287,435","90,679,242"
136,'032350,롯데관광개발,"25,300",▼,"-100","25,300","25,250","824,049","286,899","63,932,498"
137,'241560,두산밥캣,"64,600",▼,"-2,400","64,700","64,600","478,329","286,547","59,767,582"
138,'319400,현대무벡스,"27,450",▼,"-1,850","27,450","27,400","3,279,148","282,655","109,640,550"
139,'006730,서부T&D,"17,360",▲,"50","17,360","17,350","1,033,074","281,904","54,677,451"
140,'261520,이지스,"12,370",▼,"-870","12,370","12,360","1,140,864","281,150","9,443,455"
141,'373200,엑스플러스,"690",▼,"-4","690","689","722,131","277,463","108,195,996"
142,'011330,유니켐,"1,214",▼,"-57","1,222","1,214","411,872","276,365","91,592,520"
143,'396500,TIGER 반도체TOP10,"29,320",▼,"-130","29,320","29,315","15,902,640","273,381","202,424,519"
144,'272450,진에어,"7,240",▼,"-10","7,260","7,240","161,375","270,472","24,777,073"
145,'017890,한국알콜,"12,300",▲,"100","12,310","12,300","90,667","268,549","19,484,241"
146,'091440,한울소재과학,"3,500",▼,"-35","3,540","3,500","411,077","267,673","29,596,140"
147,'041190,우리기술투자,"7,900",▲,"200","7,900","7,890","2,164,148","266,475","81,482,445"
148,'373110,엑셀세라퓨틱스,"1,601",▼,"-52","1,603","1,601","225,544","264,743","16,438,071"
149,'012610,경인양행,"4,800",▼,"-75","4,800","4,785","415,420","263,930","39,390,597"
150,'023530,롯데쇼핑,"113,100",▲,"1,300","113,100","113,000","252,195","263,815","25,461,981"
151,'048410,현대바이오,"12,030",▲,"500","12,040","12,030","6,699,665","262,432","90,279,022"
152,'002900,TYM,"8,400",▲,"460","8,410","8,400","1,768,669","261,584","32,710,751"
153,'115480,씨유메디칼,"587",▼,"-8","587","583","550,080","261,014","59,920,001"
154,'377190,디앤디플랫폼리츠,"3,300",▲,"5","3,300","3,295","238,767","260,166","87,401,744"
155,'000370,한화손해보험,"7,560",▲,"80","7,560","7,550","2,592,832","258,975","102,557,177"
